authors,Year,title,venue,pages,article,publisher_location,doi,doi_url,category,raw_entry
"Thanh Tam Nguyen, Thanh Trung Huynh, Zhao Ren, Phi Le Nguyen, Alan Wee-Chung Liew, Hongzhi Yin, and Quoc Viet Hung Nguyen",2025,A Survey of Machine Unlearning,ACM Trans,,108,,10.1145/3749987,https://doi.org/10.1145/3749987,survey,"Thanh Tam Nguyen, Thanh Trung Huynh, Zhao Ren, Phi Le Nguyen, Alan Wee-Chung Liew, Hongzhi Yin, and Quoc Viet Hung Nguyen. 2025. A Survey of Machine Unlearning. ACM Trans. Intell. Syst. Technol. 16, 5, Article 108 (October 2025), 46 pages. https://doi.org/10.1145/3749987"
"Lulu Xue, Shengshan Hu, Wei Lu, Yan Shen, Dongxu Li, Peijin Guo, Ziqi Zhou, Minghui Li, Yanjun Zhang, and Leo Zhang",2026,Towards Reliable Forgetting: A Survey on Machine Unlearning Verification,ACM Comput,,314,,10.1145/3807451,https://doi.org/10.1145/3807451,survey,"Lulu Xue, Shengshan Hu, Wei Lu, Yan Shen, Dongxu Li, Peijin Guo, Ziqi Zhou, Minghui Li, Yanjun Zhang, and Leo Zhang. 2026. Towards Reliable Forgetting: A Survey on Machine Unlearning Verification. ACM Comput. Surv. 58, 12, Article 314 (September 2026), 35 pages. https://doi.org/10.1145/3807451"
Yezi Liu and Yanning Shen,2025,Enabling Group Fairness in Machine Unlearning via Distribution Correction,the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),1925–1935,,"New York, NY, USA, 1925–1935",10.1145/3746252.3761299,https://doi.org/10.1145/3746252.3761299,unlearning,"Yezi Liu and Yanning Shen. 2025. Enabling Group Fairness in Machine Unlearning via Distribution Correction. In Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25). Association for Computing Machinery, New York, NY, USA, 1925–1935. https://doi.org/10.1145/3746252.3761299"
"Renyang Liu, Wenjie Feng, Tianwei Zhang, Wei Zhou, Xueqi Cheng, and See-Kiong Ng",2025,Rethinking Machine Unlearning in Image Generation Models,the 2025 ACM SIGSAC Conference on Computer and Communications Security (CCS '25),993–1007,,"New York, NY, USA, 993–1007",10.1145/3719027.3744793,https://doi.org/10.1145/3719027.3744793,unlearning,"Renyang Liu, Wenjie Feng, Tianwei Zhang, Wei Zhou, Xueqi Cheng, and See-Kiong Ng. 2025. Rethinking Machine Unlearning in Image Generation Models. In Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security (CCS '25). Association for Computing Machinery, New York, NY, USA, 993–1007. https://doi.org/10.1145/3719027.3744793"
Khoa Tran and Simon S. Woo,2025,Fairness and Robustness in Machine Unlearning,ACM on Web Conference 2025 (WWW '25),1336–1340,,"New York, NY, USA, 1336–1340",10.1145/3701716.3715598,https://doi.org/10.1145/3701716.3715598,unlearning,"Khoa Tran and Simon S. Woo. 2025. Fairness and Robustness in Machine Unlearning. In Companion Proceedings of the ACM on Web Conference 2025 (WWW '25). Association for Computing Machinery, New York, NY, USA, 1336–1340. https://doi.org/10.1145/3701716.3715598"
"Andrea D'Angelo, Claudio Savelli, Gabriele Tagliente, Flavio Giobergia, Elena Baralis, and Giovanni Stilo",2025,ERASURE: A Modular and Extensible Framework for Machine Unlearning,the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),6346–6350,,"New York, NY, USA, 6346–6350",10.1145/3746252.3761627,https://doi.org/10.1145/3746252.3761627,framework,"Andrea D'Angelo, Claudio Savelli, Gabriele Tagliente, Flavio Giobergia, Elena Baralis, and Giovanni Stilo. 2025. ERASURE: A Modular and Extensible Framework for Machine Unlearning. In Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25). Association for Computing Machinery, New York, NY, USA, 6346–6350. https://doi.org/10.1145/3746252.3761627"
"Yurim Jang, Jaeung Lee, Dohyun Kim, Jaemin Jo, and Simon S Woo",2026,Suppression or Deletion: A Restoration-Based Representation-Level Analysis of Machine Unlearning,the ACM Web Conference 2026 (WWW '26),8505–8508,,"New York, NY, USA, 8505–8508",10.1145/3774904.3792896,https://doi.org/10.1145/3774904.3792896,unlearning,"Yurim Jang, Jaeung Lee, Dohyun Kim, Jaemin Jo, and Simon S Woo. 2026. Suppression or Deletion: A Restoration-Based Representation-Level Analysis of Machine Unlearning. In Proceedings of the ACM Web Conference 2026 (WWW '26). Association for Computing Machinery, New York, NY, USA, 8505–8508. https://doi.org/10.1145/3774904.3792896"
"Zitong Li, Qingqing Ye, and Haibo Hu",2025,FUNU: Boosting Machine Unlearning Efficiency by Filtering Unnecessary Unlearning,the ACM on Web Conference 2025 (WWW '25),3366–3376,,"New York, NY, USA, 3366–3376",10.1145/3696410.3714711,https://doi.org/10.1145/3696410.3714711,unlearning,"Zitong Li, Qingqing Ye, and Haibo Hu. 2025. FUNU: Boosting Machine Unlearning Efficiency by Filtering Unnecessary Unlearning. In Proceedings of the ACM on Web Conference 2025 (WWW '25). Association for Computing Machinery, New York, NY, USA, 3366–3376. https://doi.org/10.1145/3696410.3714711"
"Heng Xu, Tianqing Zhu, Lefeng Zhang, Wanlei Zhou, and Philip S. Yu",2023,Machine Unlearning: A Survey,ACM Comput,,9,,10.1145/3603620,https://doi.org/10.1145/3603620,survey,"Heng Xu, Tianqing Zhu, Lefeng Zhang, Wanlei Zhou, and Philip S. Yu. 2023. Machine Unlearning: A Survey. ACM Comput. Surv. 56, 1, Article 9 (January 2024), 36 pages. https://doi.org/10.1145/3603620"
"Gaoyang Liu, Xijie Wang, Zixiong Wang, Chen Wang, Ahmed M. Abdelmoniem, and Desheng Wang",2025,Prototype Surgery: Tailoring Neural Prototypes via Soft Labels for Efficient Machine Unlearning,the 2025 ACM SIGSAC Conference on Computer and Communications Security (CCS '25),2804–2817,,"New York, NY, USA, 2804–2817",10.1145/3719027.3744827,https://doi.org/10.1145/3719027.3744827,unlearning,"Gaoyang Liu, Xijie Wang, Zixiong Wang, Chen Wang, Ahmed M. Abdelmoniem, and Desheng Wang. 2025. Prototype Surgery: Tailoring Neural Prototypes via Soft Labels for Efficient Machine Unlearning. In Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security (CCS '25). Association for Computing Machinery, New York, NY, USA, 2804–2817. https://doi.org/10.1145/3719027.3744827"
