"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Implementation of Exact Machine Unlearning Algorithm in Credit Scoring Cases","I. Pratama; W. Gambetta","School of Electrical Engineering and Informatics, Bandung Institute Technology, Bandung, Indonesia; School of Electrical Engineering and Informatics, Bandung Institute Technology, Bandung, Indonesia",2024 IEEE International Conference on Data and Software Engineering (ICoDSE),"14 Jan 2025","2024","","","155","160","Machine unlearning (MUL) is an approach used to remove the influence of training data on a machine learning model. This removal can be necessary for various reasons, such as privacy protection, security enhancement, usability optimization, and improving model accuracy. This approach aims to produce a model whose performance is similar to that of a retrained model (naive MUL). This study aims to evaluate the performance differences between naive machine unlearning and using exact machine unlearning algorithms, specifically the SISA and DaRE Forest algorithms, in a credit scoring scenario. The credit scoring models were developed using the random forest algorithm as the base model. The MUL algorithms, SISA and DaRE Forest, were also developed using the random forest base model to remove the influence of k = 50% of the training data. The evaluation was conducted by analyzing the model accuracy, the time required to retrain the model, and the similarity of prediction outcomes from each model. The results show that the DaRE Forest algorithm outperforms the SISA and naive models. The model produced by DaRE Forest achieved higher accuracy, faster retraining times, and greater similarity in prediction outcomes.","2640-0227","979-8-3315-0640-7","10.1109/ICoDSE63307.2024.10829911","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10829911","machine unlearning;exact machine unlearning;SISA;DaRE Forest;credit scoring","Analytical models;Accuracy;Computational modeling;Training data;Forestry;Predictive models;Prediction algorithms;Data models;Usability;Random forests","","","","19","IEEE","14 Jan 2025","30-31 Oct. 2024","30-31 Oct. 2024","IEEE","IEEE Conferences"
"On Performance Comparison between Strong Machine Unlearning Algorithms for Logistic Regression Credit Assessment Models","J. S. O. N. Simbolon; W. Gambetta","School of Electrical Engineering and Informatics, Bandung Institute of Technology, Bandung, Indonesia; School of Electrical Engineering and Informatics, Bandung Institute of Technology, Bandung, Indonesia",2024 IEEE International Conference on Data and Software Engineering (ICoDSE),"14 Jan 2025","2024","","","178","181","The enactment of the Personal Data Protection (PDP) regulation in Indonesia requires financial service institutions to erase debtors' personal data upon request. However, this is challenging to achieve when such data is implicitly stored in a trained machine learning model. In order to address this issue, machine unlearning methods have been developed to erase the influence of training data on model weights. In this research, the performance of two strong machine unlearning algorithm implementations, ε-δ Certified Removal (CR) and Projective Residual Update (PRU), was compared on the logistic regression credit risk assessment models developed in this research. Machine unlearning was performed to delete 10% of the model's training data. Our results showed that ε-δ Certified Removal yielded a model with lower L2-distance, higher accuracy, and faster unlearning time compared to Projective Residual Update when machine unlearning was performed to delete less than 2% of the model's training data. Conversely, the opposite was observed when machine unlearning was performed to delete more or equal to 2% of the model's training data. Further research is required to explore the effect of larger training data sets with greater dimensionality on the performance of both algorithms.","2640-0227","979-8-3315-0640-7","10.1109/ICoDSE63307.2024.10829916","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10829916","machine unlearning;ε-δ certified removal;projective residual update;performance;credit risk assessment","Logistic regression;Machine learning algorithms;Software algorithms;Training data;Machine learning;Data models;Regulation;Risk management;Financial services;Software engineering","","","","13","IEEE","14 Jan 2025","30-31 Oct. 2024","30-31 Oct. 2024","IEEE","IEEE Conferences"
"Machine Unlearning: An Overview of the Paradigm Shift in the Evolution of AI","L. Jaman; R. Alsharabi; P. M. ElKafrawy","Computer Science Department, Effat College of Engineering Energy and Technology Research Center, Effat University, Jeddah, Saudi Arabia; Computer Science Department, Effat College of Engineering Energy and Technology Research Center, Effat University, Jeddah, Saudi Arabia; Computer Science Department, Effat College of Engineering Energy and Technology Research Center, Effat University, Jeddah, Saudi Arabia",2024 21st Learning and Technology Conference (L&T),"21 Mar 2024","2024","","","25","29","The rapid advancements in artificial intelligence (AI) have primarily focused on the process of learning from data to acquire knowledge for smart systems. However, the concept of machine unlearning has emerged as a transformative paradigm shift in the field of AI, due to the amount of false information that have been learned over the past. Machine unlearning refers to the ability of AI systems to reverse or discard previously acquired knowledge or patterns, enabling them to adapt and refine their understanding in response to changing circumstances or new insights. This paper explores the concept of machine unlearning, its implications, methods, challenges, and potential applications. The paper begins by providing an overview of the traditional learning-based approaches in AI and the limitations they impose on system adaptability and agility. It then delves into the concept of machine unlearning, discussing various techniques and algorithms employed to remove or modify learned knowledge from AI models or datasets.","","979-8-3503-9356-9","10.1109/LT60077.2024.10469232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10469232","machine unlearning;artificial intelligence;data deletion;differential privacy;adaptive algorithms","Adaptation models;Technological innovation;Privacy;Machine learning algorithms;Computational modeling;Heuristic algorithms;Machine learning","","4","","11","IEEE","21 Mar 2024","15-16 Jan. 2024","15-16 Jan. 2024","IEEE","IEEE Conferences"
"Machine Unlearning Concepts, Algorithm, and Case Studies for Forgetting in Artificial Intelligence","N. L. R; R. N. S; G. R. Karpagam","Dept. of Computer Science Engineering (AI & ML), PSG College of Technology, Coimbatore, India; Dept. of Computer Science Engineering (AI & ML), PSG College of Technology, Coimbatore, India; Dept. of Computer Science Engineering (AI & ML), PSG College of Technology, Coimbatore, India","2026 Second International Conference on Intelligent Systems for Communication, IoT and Security (ICISCoIS)","27 Mar 2026","2026","","","1","5","Machine unlearning enables model to selectively erase specific data influence such as data points, classes, private records or biased inputs, without retraining from scratch. It is crucial for privacy concerns, security reasons, and compliance with regulations such as GDPR, where public users can request deletion of their data. Machine unlearning ensures that the model no longer retains information derived from the deleted data, preventing misuse or leakage. This paper consolidates these paradigms through concrete case studies: (i) intrinsic unlearning in LLaMA style transformers for toxicity suppression, (ii) model agnostic governance pipelines that operationalization RTBF compliance in regulated domains, and (iii) IFRU, a data-driven influence-based unlearning method for recommender systems. In these instances, we examine how forgetting is caused, stability preserved and performance and privacy impacted. Evaluation metrics including forgetting efficiency, utility retention, privacy leakage resistance, and scalability are discussed as essential criteria for assessing the reliability of unlearning algorithms. Together, these perspectives illustrate machine unlearning as a critical foundation for building accountable, adaptive, and ethically aligned AI systems that can forget on demand while retaining utility.","","979-8-3315-4596-3","10.1109/ICISCoIS62701.2026.11448044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11448044","Machine Unlearning;Forgetting;AI;Algorithms;Case Studies","Measurement;Adaptation models;Privacy;Ethics;Data privacy;Law;Data models;Security;Reliability;Recommender systems","","","","22","IEEE","27 Mar 2026","8-10 Jan. 2026","8-10 Jan. 2026","IEEE","IEEE Conferences"
"A Unified PAC-Bayesian Framework for Machine Unlearning via Information Risk Minimization","S. T. Jose; O. Simeone","Department of Engineering, King's Communications, Learning, and Information Processing (KCLIP) Lab, King's College London, London; Department of Engineering, King's Communications, Learning, and Information Processing (KCLIP) Lab, King's College London, London",2021 IEEE 31st International Workshop on Machine Learning for Signal Processing (MLSP),"15 Nov 2021","2021","","","1","6","Machine unlearning refers to mechanisms that can remove the influence of a subset of training data upon request from a trained model without incurring the cost of re-training from scratch. This paper develops a unified PAC-Bayesian framework for machine unlearning that recovers the two recent design principles - variational unlearning [1] and forgetting Lagrangian [2] as information risk minimization problems [3]. Accordingly, both criteria can be interpreted as PAC-Bayesian upper bounds on the test loss of the unlearned model that take the form of free energy metrics.","1551-2541","978-1-7281-6338-3","10.1109/MLSP52302.2021.9596170","European Research Council (ERC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596170","Machine unlearning;PAC-Bayesian bounds;free energy minimization","Measurement;Upper bound;Machine learning algorithms;Training data;Signal processing algorithms;Machine learning;Signal processing","","5","","15","Crown","15 Nov 2021","25-28 Oct. 2021","25-28 Oct. 2021","IEEE","IEEE Conferences"
"Rewriting Memory: an Efficient Framework for Machine Unlearning in Pretrained Deep Models","M. U. Baig; B. Maram; G. S. Sanka; L. Swathi; A. K. Agrawal; B. Rajesh","Department of computer science and artificial intelligence, SR University, Telangana, India; School of Computer Science and Artificial Intelligence, SR University, Warangal, Telangana; Department of AIML, Aditya University, Surampalem, Kakinada(Dist.), Andhra Pradesh; Department of IT, GMR Institute Of Technology, Rajam, Vizianagaram, Andhra Pradesh, India; Chitkara University, School of Engineering and Technology, Chitkara University, Himachal Pradesh, India; Aditya Institute of Technology and Management, Tekkali, Andhra Pradesh","2025 International Conference on Sustainability, Innovation & Technology (ICSIT)","19 Dec 2025","2025","","","1","6","With increasing focus on data privacy, machine unlearning-the operation of deleting specific data influence from learned models-has been subject to greater scrutiny. This paper introduces a real-world machine unlearning approach from pretrained deep models that addresses data deletion issues without full retraining. Our method deletes 93.2 % of data influence with more than 98.1 % of model accuracy retained on the rest of the data. Experiments on standard datasets such as CIFAR-10 and ImageNet have at most 60 % reduced computational cost over relearning from scratch. The method combines knowledge localization and selective memory editing, and it is policy-compatible with regulations such as GDPR. Results indicate the possibility of scalable, privacy-compatible AI systems that can learn-and forget-in an efficient and ethical way.","","979-8-3315-3549-0","10.1109/ICSIT65336.2025.11293913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11293913","Machine Unlearning;Deep Learning;Data Privacy;Pretrained Models;Selective Forgetting","Location awareness;Deep learning;Data privacy;Ethics;Computational modeling;Memory management;Data models;Regulation;Computational efficiency;Standards","","","","12","IEEE","19 Dec 2025","22-23 Aug. 2025","22-23 Aug. 2025","IEEE","IEEE Conferences"
"GEIA: Generative Enhancement Inversion Attack Targeting Machine Unlearning","Y. Ma; X. Xu; J. Wang; W. Yi; Y. Liu","Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University; Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University; Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University; Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University; Key Laboratory of Aerospace Information Security and Trusted Computing, Ministry of Education, School of Cyber Science and Engineering, Wuhan University","ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","21 Apr 2026","2026","","","14227","14231","Machine unlearning aims to empower models to selectively expunge designated data upon request, thereby safeguarding individual privacy. However, recent studies have indicated that unlearning methods may not fully mitigate privacy risks, as disparities between original and unlearned models might inadvertently expose excised data details. Nonetheless, existing attack methods frequently fail to capture the pixel-level details of unlearned samples, resulting in feature loss and excessive pixelation. In this paper, we introduce a novel attack framework targeting the feature recovery of unlearned samples, named Generative Enhancement Inversion Attack (GEIA). Unlike prior works, GEIA employs a two-stage strategy for high-fidelity feature recovery. The first stage uses latent semantic modeling to extract intrinsic patterns, while the second integrates a novel hierarchical architecture for multi-scale semantic detail reconstruction, effectively recovering local textures and global structures. Extensive experiments confirm GEIA’s superiority over the state-of-the-art methods, exposing vulnerabilities in machine unlearning.","2379-190X","979-8-3315-6701-9","10.1109/ICASSP55912.2026.11464727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11464727","Machine Unlearning;Information Leakage;Inversion Attack;Generative Enhancement","Filtering;Filters;TV;Pixel;Protocols;HTTP;Communications technology;Digital images;Fuses;Electronic components","","","","21","IEEE","21 Apr 2026","3-8 May 2026","3-8 May 2026","IEEE","IEEE Conferences"
"Machine Unlearning for Grid SearchCV","S. P. S; K. P; N. Kumar P; K. R","Department of AIDS, Easwari Engineering College, Chennai, India; Department of CSE, Rajalakshmi Engineering College, Chennai, India; Department of CSE, REC, Chennai, India; Department of CSE, K.L.N. College of Engineering, Madurai, India",2025 International Conference on Computing Technologies & Data Communication (ICCTDC),"22 Sep 2025","2025","","","1","5","Machine unlearning has emerged as a critical ability to ensure data privacy, legal compliance, and model efficiency in machine learning systems. As machine learning applications continue to expand into sensitive domains such as healthcare, finance, and personalized services, the ability to selectively forget certain data points becomes increasingly vital. Ensuring compliance with regulations like the General Data Protection Regulation (GDPR) and the California Consumer Privacy Act (CCPA) necessitates effective unlearning methods that do not compromise model integrity or computational efficiency. How- ever, traditional approaches to unlearning, which often rely on full retraining, can be prohibitively expensive and time- consuming. Grid search cross-validation (CV), a widely used technique for hyperparameter tuning, plays a fundamental role in optimizing machine learning models. However, it struggles to incorporate unlearning due to its extensive search process and dependence on the entire dataset. Each time a data point is re- moved, grid search typically requires complete retraining across multiple hyperparameter configurations, leading to excessive computational overhead.","","979-8-3315-2798-3","10.1109/ICCTDC64446.2025.11158784","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11158784","Machine Unlearning;Grid Search Cross-Validation;Hyperparameter Optimization;Incremental Learning;Machine Learning Workflows;Adaptive Hyperparameter Tuning","Data privacy;Incremental learning;Law;Computational modeling;Medical services;Data models;Regulation;Computational efficiency;General Data Protection Regulation;Tuning","","9","","15","IEEE","22 Sep 2025","4-5 July 2025","4-5 July 2025","IEEE","IEEE Conferences"
"ECIL-MU: Embedding Based Class Incremental Learning and Machine Unlearning","Z. Zuo; Z. Tang; B. Wang; K. Li; A. Datta","College of Computer Science and Electronic Engineering, Hunan University, China; College of Computer Science and Electronic Engineering, Hunan University, China; College of Computer Science and Electronic Engineering, Hunan University, China; College of Computer Science and Electronic Engineering, Hunan University, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore","ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","18 Mar 2024","2024","","","6275","6279","New categories may be introduced over time, or existing categories may need to be reclassified. Class incremental learning (CIL) is employed for the gradual acquisition of knowledge about new categories while preserving information about previously learned ones in such dynamic environments. It might also be necessary to also eliminate the influence of related categories on the model to adapt to reclassification. We thus introduce class-level machine unlearning (MU) within CIL. Typically, MU methods tend to be time-consuming and can potentially harm the model’s performance. A continuous stream of unlearning requests could lead to catastrophic forgetting. To address these issues, we propose a non-destructive eCIL-MU framework based on embedding techniques to map data into vectors and then be stored in vector databases. Our approach exploits the overlap between CIL and MU tasks for acceleration. Experiments demonstrate the capability of achieving unlearning effectiveness and orders of magnitude (upto ~ 278×) of acceleration.","2379-190X","979-8-3503-4485-1","10.1109/ICASSP48485.2024.10446273","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10446273","Class Incremental Learning;Machine Unlearning;Embedding;Vector Database;Privacy","Training;Adaptation models;Databases;Signal processing;Vectors;Robustness;Acoustics","","3","","16","IEEE","18 Mar 2024","14-19 April 2024","14-19 April 2024","IEEE","IEEE Conferences"
"Pseudo-Labeling for Enhanced User Privacy in Approximate Machine Unlearning","S. Watanabe","Artificial Intelligence Laboratory, Fujitsu Limited, Japan","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","This paper presents an effective pseudo-labeling method for machine unlearning, focusing on protecting user privacy. Recent research predominantly focused on modifying the weights of pre-trained models to approximate exact unlearning. We study the impact of pseudo-labeling methods and propose two novel algorithms for approximate unlearning. Our approach aims to imitate the inference errors and behaviors that arise from exact unlearning of a subset of the target data to be forgotten. To identify the data within the forget set where inferences tend to shift in the wrong direction, we conduct comparative analyses using a pre-trained model, a simple fine-tuning model, and a simple scratch model. We use identified data along with incorrect labels derived from the wrong direction for pseudo-labeling. Experimental evaluations show that our method achieves superior performance in protecting user privacy, demonstrating enhanced forgetting rates and particularly robust defense against membership inference attack.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10890795","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10890795","Machine unlearning;Approximate learning;User privacy;Membership inference attack;Pseudo label","Training;Performance evaluation;Privacy;Analytical models;Signal processing;Data models;Robustness;Inference algorithms;Speech processing;Research and development","","1","","36","IEEE","7 Mar 2025","6-11 April 2025","6-11 April 2025","IEEE","IEEE Conferences"
