Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
Zero-Shot Machine Unlearning,"Zero-shot machine unlearning, using error minimizing-maximizing noise and gated knowledge transfer, can effectively remove deleted data from machine learning models while maintaining model efficacy on retain data.","Vikram S Chundawat, A. Tarun, Murari Mandal, Mohan Kankanhalli",2022,200,"Modern privacy regulations grant citizens the right to be forgotten by products, services and companies. In case of machine learning (ML) applications, this necessitates deletion of data not only from storage archives but also from ML models. Due to an increasing need for regulatory compliance required for ML applications, machine unlearning is becoming an emerging research problem. The right to be forgotten requests come in the form of removal of a certain set or class of data from the already trained ML model. Practical considerations preclude retraining of the model from scratch after discarding the deleted data. The few existing studies use either the whole training data, or a subset of training data, or some metadata stored during training to update the model weights for unlearning. However, strict regulatory compliance requires time-bound deletion of data. Thus, in many cases, no data related to the training process or training samples may be accessible even for the unlearning purpose. We therefore ask the question: is it possible to achieve unlearning with zero training samples? In this paper, we introduce the novel problem of zero-shot machine unlearning that caters for the extreme but practical scenario where zero original data samples are available for use. We then propose two novel solutions for zero-shot machine unlearning based on (a) error minimizing-maximizing noise and (b) gated knowledge transfer. These methods remove the information of the forget data from the model while maintaining the model efficacy on the retain data. The zero-shot approach offers good protection against the model inversion attacks and membership inference attacks. We introduce a new evaluation metric, Anamnesis Index (AIN) to effectively measure the quality of the unlearning method. The experiments show promising results for unlearning in deep learning models on benchmark vision data-sets. The source code is available here: https://github.com/ayu987/zero-shot-unlearning",,IEEE Transactions on Information Forensics and Security,1.0,10.1109/tifs.2023.3265506,https://consensus.app/papers/zeroshot-machine-unlearning-chundawat-tarun/ab97a5526e595205abef62e4e22c02fd/
When Machine Unlearning Meets Retrieval-Augmented Generation (RAG): Keep Secret or Forget Knowledge?,"Our lightweight RAG-based unlearning framework effectively addresses ethical and legal concerns in large language models, particularly for closed-source models.","Shang Wang, Tianqing Zhu, Dayong Ye, Wanlei Zhou",2024,19,"The deployment of large language models (LLMs) like ChatGPT and Gemini has shown their powerful natural language generation capabilities. However, these models can inadvertently learn and retain sensitive information and harmful content during training, raising significant ethical and legal concerns. To address these issues, machine unlearning has been introduced as a potential solution. While existing unlearning methods take into account the specific characteristics of LLMs, they often suffer from high computational demands, limited applicability, or the risk of catastrophic forgetting. To address these limitations, we propose a lightweight behavioral unlearning framework based on Retrieval-Augmented Generation (RAG) technology. By modifying the external knowledge base of RAG, we simulate the effects of forgetting without directly interacting with the unlearned LLM. We approach the construction of unlearned knowledge as a constrained optimization problem, deriving two key components that underpin the effectiveness of RAG-based unlearning. This RAG-based approach is particularly effective for closed-source LLMs, where existing unlearning methods often fail. We evaluate our framework through extensive experiments on both open-source and closed-source models, including ChatGPT, Gemini, Llama-2-7b-chat, and PaLM 2. The results demonstrate that our approach meets five key unlearning criteria: effectiveness, universality, harmlessness, simplicity, and robustness. Meanwhile, this approach can extend to multimodal large language models and LLM-based agents.",,IEEE Transactions on Dependable and Secure Computing,1.0,10.1109/tdsc.2025.3620832,https://consensus.app/papers/when-machine-unlearning-meets-retrievalaugmented-wang-zhu/b6c8f90878b455bc87bed5f914bb8755/
Machine Unlearning: A Survey,"Machine unlearning, a key technology for privacy and usability, has attracted significant interest from academia and industry, but this survey aims to analyze its key concepts and compare existing solutions, highlighting potential research opportunities.","Heng Xu, Tianqing Zhu, Lefeng Zhang, Wanlei Zhou, P. Yu",2023,51,"Machine learning has attracted widespread attention and evolved into an enabling technology for a wide range of highly successful applications, such as intelligent computer vision, speech recognition, medical diagnosis, and more. Yet, a special need has arisen where, due to privacy, usability, and/or the right to be forgotten, information about some specific samples needs to be removed from a model, called machine unlearning. This emerging technology has drawn significant interest from both academics and industry due to its innovation and practicality. At the same time, this ambitious problem has led to numerous research efforts aimed at confronting its challenges. To the best of our knowledge, no study has analyzed this complex topic or compared the feasibility of existing unlearning solutions in different kinds of scenarios. Accordingly, with this survey, we aim to capture the key concepts of unlearning techniques. The existing solutions are classified and summarized based on their characteristics within an up-to-date and comprehensive review of each category’s advantages and limitations. The survey concludes by highlighting some of the outstanding issues with unlearning techniques, along with some feasible directions for new research opportunities.",,ACM Computing Surveys,1.0,10.1145/3603620,https://consensus.app/papers/machine-unlearning-a-survey-xu-zhu/bce54113fb4352b9af3d64660b34ad6d/
FedU: Federated Unlearning via User-Side Influence Approximation Forgetting,"FedU, a user-side influence approximation forgetting method, effectively unlearns machine models in federated learning without sharing raw data with the server, outperforming state-of-the-art methods.","Weiqi Wang, Chenhan Zhang, Zhiyi Tian, Shui Yu",2025,13,"Machine unlearning has become a significant research topic on a global scale due to the increasing importance of privacy protection, particularly in light of the right to be forgotten legislation. Although many solutions are proposed, the current mainstream centralized machine unlearning studies are not feasible in federated learning (FL), where the server has no access to any users’ unlearning samples. In this paper, we aim to tackle the federated unlearning problem by proposing a Federated Unlearning (FedU) scheme via a user-side influence approximation forgetting method, thereby eliminating the need to share raw data with the server. In FedU, only users who have unlearning needs execute the influence approximation forgetting, while other users and the server just conduct the same operations as they did in FL. The proposed influence approximation forgetting method achieves unlearning by estimating the influence of the erased samples relying on only the user's local data and eliminating this influence from the model. However, the model utility is still negatively influenced by directly removing the influence estimation. To mitigate the side effects of unlearning, we propose a utility preservation method that simultaneously trains the unlearned model based on the unlearning requesters’ remaining local dataset. We design an adaptive optimization method to balance the forgetting and utility preservation effectiveness optimally during the unlearning process. Extensive evaluations on three representative public datasets demonstrate that our proposed method significantly outperforms state-of-the-art methods in both effectiveness and efficiency, avoiding more than 3% accuracy degradation when the number of unlearning requesters is large.",,IEEE Transactions on Dependable and Secure Computing,1.0,10.1109/tdsc.2024.3520614,https://consensus.app/papers/fedu-federated-unlearning-via-userside-influence-wang-zhang/50778c926ba1568493530efd8eb8376e/
A Survey of Machine Unlearning,"Machine unlearning is a new paradigm that helps machine learning models forget about specific data, improving user privacy and trust in AI.","T. Nguyen, T. Huynh, Phi-Le Nguyen, Alan Wee-Chung Liew, Hongzhi Yin, Q. Nguyen",2022,381,"Today, computer systems hold large amounts of personal data. Yet while such an abundance of data allows breakthroughs in AI, and especially machine learning, its existence can be a threat to user privacy, and it can weaken the bonds of trust between humans and AI. Recent regulations now require that, on request, private information about a user must be removed both from computer systems and from machine learning models—this legislation is more colloquially called “the right to be forgotten.” While removing data from back-end databases should be straightforward, it is not sufficient in the AI context as machine learning models often “remember” the old data. Contemporary adversarial attacks on trained models have proven that we can learn whether an instance or an attribute belonged to the training data. This phenomenon calls for a new paradigm, namely machine unlearning, to make machine learning models forget about particular data. It turns out that recent works on machine unlearning have not been able to completely solve the problem due to the lack of common frameworks and resources. Therefore, this article aspires to present a comprehensive examination of machine unlearning’s concepts, designs, methods, and applications. Specifically, as a category collection of cutting-edge studies, the intention behind this article is to serve as a comprehensive resource for researchers and practitioners seeking an introduction to machine unlearning and its formulations, design criteria, removal requests, algorithms, and applications. In addition, we aim to highlight the key findings, current trends, and new research areas that have not yet featured the use of machine unlearning but could benefit greatly from it. We hope that this survey serves as a valuable resource for machine learning researchers and those seeking to innovate privacy technologies. Our resources are publicly available at https://github.com/tamlhp/awesome-machine-unlearning.",,ACM Transactions on Intelligent Systems and Technology,1.0,10.1145/3749987,https://consensus.app/papers/a-survey-of-machine-unlearning-nguyen-huynh/7d21424a65a359509bd85c29f6048e9a/
Machine Unlearning: Solutions and Challenges,"Machine unlearning techniques effectively remove sensitive data from machine learning models, reducing privacy risks and security vulnerabilities.","Jie Xu, Zihan Wu, Cong Wang, Xiaohua Jia",2023,126,"Machine learning models may inadvertently memorize sensitive, unauthorized, or malicious data, posing risks of privacy breaches, security vulnerabilities, and performance degradation. To address these issues, machine unlearning has emerged as a critical technique to selectively remove specific training data points' influence on trained models. This paper provides a comprehensive taxonomy and analysis of the solutions in machine unlearning. We categorize existing solutions into exact unlearning approaches that remove data influence thoroughly and approximate unlearning approaches that efficiently minimize data influence. By comprehensively reviewing solutions, we identify and discuss their strengths and limitations. Furthermore, we propose future directions to advance machine unlearning and establish it as an essential capability for trustworthy and adaptive machine learning models. This paper provides researchers with a roadmap of open problems, encouraging impactful contributions to address real-world needs for selective data removal.",,IEEE Transactions on Emerging Topics in Computational Intelligence,1.0,10.1109/tetci.2024.3379240,https://consensus.app/papers/machine-unlearning-solutions-and-challenges-xu-wu/7b7f20f1fd495cde953af56b72581c64/
"A Survey on Federated Unlearning: Challenges, Methods, and Future Directions","Federated unlearning (FU) enables data erasure in federated learning settings, but requires tailored designs due to unique challenges in federated learning settings.","Ziyao Liu, Yu Jiang, Jiyuan Shen, Minyi Peng, Kwok-Yan Lam, Xingliang Yuan, Xiaoning Liu",2023,125,"In recent years, the notion of “the right to be forgotten” (RTBF) has become a crucial aspect of data privacy for digital trust and AI safety, requiring the provision of mechanisms that support the removal of personal data of individuals upon their requests. Consequently, machine unlearning (MU) has gained considerable attention which allows an ML model to selectively eliminate identifiable information. Evolving from MU, federated unlearning (FU) has emerged to confront the challenge of data erasure within federated learning (FL) settings, which empowers the FL model to unlearn an FL client or identifiable information pertaining to the client. Nevertheless, the distinctive attributes of federated learning introduce specific challenges for FU techniques. These challenges necessitate a tailored design when developing FU algorithms. While various concepts and numerous federated unlearning schemes exist in this field, the unified workflow and tailored design of FU are not yet well understood. Therefore, this comprehensive survey delves into the techniques and methodologies in FU providing an overview of fundamental concepts and principles, evaluating existing federated unlearning algorithms, and reviewing optimizations tailored to federated learning. Additionally, it discusses practical applications and assesses their limitations. Finally, it outlines promising directions for future research.",,ACM Computing Surveys,1.0,10.1145/3679014,https://consensus.app/papers/a-survey-on-federated-unlearning-challenges-methods-and-liu-jiang/db534b0a0bcb5eeba6abb4ffce7bacd5/
FedRecovery: Differentially Private Machine Unlearning for Federated Learning Frameworks,"FedRecovery is an efficient machine unlearning algorithm that effectively removes the impact of a client's data from a machine learning model, while maintaining similar performance to the retrained model.","Lefeng Zhang, Tianqing Zhu, Haibin Zhang, P. Xiong, Wanlei Zhou",2023,115,"Over the past decades, the abundance of personal data has led to the rapid development of machine learning models and important advances in artificial intelligence (AI). However, alongside all the achievements, there are increasing privacy threats and security risks that may cause significant losses for data providers. Recent legislation requires that the private information about a user should be removed from a database as well as machine learning models upon certain deletion requests. While erasing data records from memory storage is straightforward, it is often challenging to remove the influence of particular data samples from a model that has already been trained. Machine unlearning is an emerging paradigm that aims to make machine learning models “forget” what they have learned about particular data. Nevertheless, the unlearning issue for federated learning has not been completely addressed due to its special working mode. First, existing solutions crucially rely on retraining-based model calibration, which is likely unavailable and can pose new privacy risks for federated learning frameworks. Second, today’s efficient unlearning strategies are mainly designed for convex problems, which are incapable of handling more complicated learning tasks like neural networks. To overcome these limitations, we took advantage of differential privacy and developed an efficient machine unlearning algorithm named FedRecovery. The FedRecovery erases the impact of a client by removing a weighted sum of gradient residuals from the global model, and tailors the Gaussian noise to make the unlearned model and retrained model statistically indistinguishable. Furthermore, the algorithm neither requires retraining-based fine-tuning nor needs the assumption of convexity. Theoretical analyses show the rigorous indistinguishability guarantee. Additionally, the experiment results on real-world datasets demonstrate that the FedRecovery is efficient and is able to produce a model that performs similarly to the retrained one.",,IEEE Transactions on Information Forensics and Security,1.0,10.1109/tifs.2023.3297905,https://consensus.app/papers/fedrecovery-differentially-private-machine-unlearning-zhang-zhu/a4ac765be75f5120b88eef1032c70122/
Server-Initiated Federated Unlearning to Eliminate Impacts of Low-Quality Data,"The Server-Initiated Federated Unlearning (SIFU) algorithm effectively eliminates low-quality data from global models without compromising accuracy, outperforming state-of-the-art methods.","Pengfei Wang, Wei Song, Heng Qi, Changjun Zhou, Fuliang Li, Yong Wang, Peng Sun, Qiang Zhang",2024,64,"Federated unlearning (FUL) is an emerging distributed machine learning paradigm which enables the removal or unlearning of specific training data effects from trained Federated Learning (FL) models. While current studies mostly focus on client-side FUL to address the “right to be forgotten”, and ignore the server's right to remove local models from the global model, particularly when clients are trained with low-quality data. In this paper, we introduce the Server-Initiated Federated Unlearning (SIFU) algorithm, devised to eliminate low-quality data from the global model. SIFU consists of two main components: (i) Identifying low-quality data: we develop a category-based method for quantifying low-quality data for each client and filter out clients containing such data. Datasets are then divided accordingly. (ii) Unlearning low-quality data: we employ gradient ascent training to counteract the adverse effects of low-quality data on local models. To minimize any bias introduced, we concurrently perform several batches of boosting training with good-quality data. SIFU could identify and promptly eliminate the impact of low-quality data on the FL global model while still preserving the benefits of good-quality data. Finally, extensive evaluations are conducted to verify the performance of SIFU with four different kinds of datasets and models. Results show that, compared to retraining from scratch, SIFU accelerates the speed of unlearning by <inline-formula><tex-math notation=""LaTeX"">$15 \times$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>15</mml:mn><mml:mo>×</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""wang-ieq1-3355188.gif""/></alternatives></inline-formula> for small datasets (i.e., MNIST and FMNIST) and <inline-formula><tex-math notation=""LaTeX"">$20 \times$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>20</mml:mn><mml:mo>×</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""wang-ieq2-3355188.gif""/></alternatives></inline-formula> for large datasets (i.e., CIFAR-10 and CelebA) without any degradation in accuracy, which also outperforms the state of the arts.",,IEEE Transactions on Services Computing,1.0,10.1109/tsc.2024.3355188,https://consensus.app/papers/serverinitiated-federated-unlearning-to-eliminate-wang-song/f38d0b7fd5e553f39abe19e0a69b2eb5/
FRAMU: Attention-Based Machine Unlearning Using Federated Reinforcement Learning,"FRAMU is a robust, privacy-preserving framework for Machine Unlearning that optimizes model performance and addresses challenges in dynamic data environments without compromising privacy.","T. Shaik, Xiaohui Tao, Lin Li, Haoran Xie, Taotao Cai, Xiaofeng Zhu, Qingyuan Li",2023,31,"Machine Unlearning, a pivotal field addressing data privacy in machine learning, necessitates efficient methods for the removal of private or irrelevant data. In this context, significant challenges arise, particularly in maintaining privacy and ensuring model efficiency when managing outdated, private, and irrelevant data. Such data not only compromises model accuracy but also burdens computational efficiency in both learning and unlearning processes. To mitigate these challenges, we introduce a novel framework: Attention-based Machine Unlearning using Federated Reinforcement Learning (FRAMU). This framework incorporates adaptive learning mechanisms, privacy preservation techniques, and optimization strategies, making it a well-rounded solution for handling various data sources, either single-modality or multi-modality, while maintaining accuracy and privacy. FRAMU's strengths include its adaptability in fluctuating data landscapes, its ability to unlearn outdated, private, or irrelevant data, and its support for continual model evolution without compromising privacy. Our experiments, conducted on both single-modality and multi-modality datasets, revealed that FRAMU significantly outperformed baseline models. Additional assessments of convergence behavior and optimization strategies further validate the framework's utility in federated learning applications. Overall, FRAMU advances Machine Unlearning by offering a robust, privacy-preserving solution that optimizes model performance while also addressing key challenges in dynamic data environments.",,IEEE Transactions on Knowledge and Data Engineering,1.0,10.1109/tkde.2024.3382726,https://consensus.app/papers/framu-attentionbased-machine-unlearning-using-federated-shaik-tao/2690d96602e65bfea6d6bda23cfdf911/
