Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Year,URL,Content Type
Fast and Accurate Class-Level Machine Unlearning using Impair–Repair and Noise-Induced Forgetting Mechanisms,Cognitive Computation,,,,10.1007/s12559-026-10597-4,Muhammad RizwanAamir WaliMuhammad Saif ul IslamSana Fatima,2026,https://link.springer.com/article/10.1007/s12559-026-10597-4,Article
Unlearning in distributed budget support vector machine,Soft Computing,,,,10.1007/s00500-025-10929-w,Angel Navia-Vázquez,2025,https://link.springer.com/article/10.1007/s00500-025-10929-w,Article
Feature-indistinguishable machine unlearning via negative-hot label encoding and class weight masking,Scientific Reports,,,,10.1038/s41598-026-40379-9,Jiali WangHongxia BieZhao JingYichen Zhi,2026,https://link.springer.com/article/10.1038/s41598-026-40379-9,Article
Rethinking machine unlearning for large language models,Nature Machine Intelligence,,,,10.1038/s42256-025-00985-0,Sijia LiuYuanshun YaoJinghan JiaStephen CasperNathalie BaracaldoPeter HaseYuguang YaoChris Yuhao LiuXiaojun XuHang LiKush R. VarshneyMohit BansalSanmi KoyejoYang Liu,2025,https://link.springer.com/article/10.1038/s42256-025-00985-0,Article
Machine Unlearning in&#xa0;MRI Reconstruction to&#xa0;Balance Privacy Protection and&#xa0;Model Performance Trade-Offs,Intelligent Computing,,,,10.1007/978-3-031-92605-1_27,Kasu MamathaDebajyoty Banik,2025,https://link.springer.com/chapter/10.1007/978-3-031-92605-1_27,Conference paper
An Introduction to&#xa0;Machine Unlearning,Machine Unlearning for Governance of Foundation Models,,,,10.1007/978-3-032-17282-2_1,Sijia LiuYang LiuNathalie Baracaldo,2026,https://link.springer.com/chapter/10.1007/978-3-032-17282-2_1,Chapter
An Efficient Federated Meta Unlearning Algorithm with&#xa0;Enhanced Privacy Protection,Network and Parallel Computing,,,,10.1007/978-981-96-2864-3_9,Yani WangZuobin YingZijie PanEnmin ZhuWanlei Zhou,2025,https://link.springer.com/chapter/10.1007/978-981-96-2864-3_9,Conference paper
Weight masking in image classification networks: class-specific machine unlearning,Knowledge and Information Systems,,,,10.1007/s10115-024-02312-2,Jiali WangHongxia BieZhao JingYichen ZhiYongkai Fan,2025,https://link.springer.com/article/10.1007/s10115-024-02312-2,Article
"A survey on large language models unlearning: taxonomy, evaluations, and future directions",Artificial Intelligence Review,,,,10.1007/s10462-025-11376-7,Uyen N. Le-KhacVinh N. X. Truong,2025,https://link.springer.com/article/10.1007/s10462-025-11376-7,Article
Machine Unlearning for&#xa0;Random Forest via&#xa0;Method of&#xa0;Images,Machine Learning and Knowledge Discovery in Databases. Research Track,,,,10.1007/978-3-032-06096-9_24,Hang ZhangKai Ming Ting,2026,https://link.springer.com/chapter/10.1007/978-3-032-06096-9_24,Conference paper
Label Smoothing Improves Machine Unlearning,Machine Unlearning for Governance of Foundation Models,,,,10.1007/978-3-032-17282-2_8,Zonglin Di,2026,https://link.springer.com/chapter/10.1007/978-3-032-17282-2_8,Chapter
KaRe: Towards Flexible and&#xa0;Effective Machine Unlearning with&#xa0;Knowledge Alignment and&#xa0;Repair,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-031-93251-9_16,Zhenyu ChaiQin LiuQiuyu HuPeng Li,2026,https://link.springer.com/chapter/10.1007/978-3-031-93251-9_16,Conference paper
Supporting Trustworthy AI Through Machine Unlearning,Science and Engineering Ethics,,,,10.1007/s11948-024-00500-5,Emmie HineClaudio NovelliMariarosaria TaddeoLuciano Floridi,2024,https://link.springer.com/article/10.1007/s11948-024-00500-5,Article
Machine Unlearning,Data Privacy and Data Governance,,,,10.1007/978-981-95-5787-5_9,Xiaofeng Meng,2026,https://link.springer.com/chapter/10.1007/978-981-95-5787-5_9,Chapter
EncoderMU: Machine Unlearning in Contrastive Learning,Security and Privacy in New Computing Environments,,,,10.1007/978-3-031-73699-5_15,Zixin WangBing MiKongyang Chen,2025,https://link.springer.com/chapter/10.1007/978-3-031-73699-5_15,Conference paper
Mitigating Over-Unlearning in&#xa0;Machine Unlearning with&#xa0;Synthetic Data Augmentation,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-981-96-1545-2_18,Baohai WangYouyang QuLongxiang GaoConggai LiLin LiDavid Smith,2025,https://link.springer.com/chapter/10.1007/978-981-96-1545-2_18,Conference paper
Rapid federated unlearning with tuning parameters based on fisher information matrix,Applied Intelligence,,,,10.1007/s10489-025-06593-0,Fengda ZhaoQianyi XuHao WangDingding Guo,2025,https://link.springer.com/article/10.1007/s10489-025-06593-0,Article
Understanding the&#xa0;Robustness of&#xa0;Machine-Unlearning Models,Information Security and Privacy,,,,10.1007/978-981-96-9101-2_16,Guanqin ZhangFeng XuH. M. N. Dilum BandaraShiping ChenYulei Sui,2025,https://link.springer.com/chapter/10.1007/978-981-96-9101-2_16,Conference paper
